Gene,Chromosome,Arm,Start,End,Gene_Length
WSB2,12,q,118032687,118062430,29743
VSIG10,12,q,118063593,118136026,72433
PEBP1,12,q,118136124,118145584,9460
TAOK3,12,q,118149801,118372907,223106
RPS2P5,12,q,118246084,118246962,878
SUDS3,12,q,118376555,118418033,41478
LINC02460,12,q,118645315,118648724,3409
RPL17P37,12,q,118737964,118738511,547
LINC02423,12,q,118758217,118761739,3522
LINC02440,12,q,118773031,118775137,2106
LINC02439,12,q,118782926,118833536,50610
RNA5SP374,12,q,118829681,118829805,124
SRRM4,12,q,118981541,119163051,181510
RN7SL508P,12,q,118993857,118994159,302
HSPB8,12,q,119171555,119224855,53300
LINC00934,12,q,119283825,119303380,19555
CCDC60,12,q,119334712,119541040,206328
TMEM233,12,q,119593774,119643075,49301
RN7SKP197,12,q,119631090,119631386,296
PRKAB1,12,q,119667864,119681624,13760
CIT,12,q,119685791,119877320,191529
MIR1178,12,q,119713634,119713724,90
RPL35AP30,12,q,119959424,119959754,330
BICDL1,12,q,119989236,120094494,105258
RAB35,12,q,120095099,120117502,22403
GCN1,12,q,120127202,120194715,67513
MIR4498,12,q,120155434,120155499,65
RPLP0,12,q,120196699,120201235,4536
PXN-AS1,12,q,120201274,120213233,11959
PXN,12,q,120210439,120265771,55332
RPS20P31,12,q,120247460,120247791,331
NME2P1,12,q,120282303,120282716,413
RNU4-2,12,q,120291763,120291903,140
RNU4-1,12,q,120293097,120293237,140
SIRT4,12,q,120302316,120313249,10933
RNU6-1088P,12,q,120313238,120313341,103
PLA2G1B,12,q,120322115,120327779,5664
MSI1,12,q,120341330,120369164,27834
RPS27P25,12,q,120369440,120371688,2248
COX6A1,12,q,120438090,120440737,2647
TRIAP1,12,q,120443964,120446384,2420
GATC,12,q,120446444,120463749,17305
RPL31P52,12,q,120450437,120450803,366
SRSF9,12,q,120461672,120495946,34274
DYNLL1,12,q,120469850,120498493,28643
NRAV,12,q,120488079,120495954,7875
COQ5,12,q,120503279,120534434,31155
RPL29P24,12,q,120522664,120523443,779
RNF10,12,q,120533480,120577588,44108
POP5,12,q,120578764,120581402,2638
RPL11P5,12,q,120594015,120594548,533
CABP1-DT,12,q,120628830,120641591,12761
CABP1,12,q,120640626,120667324,26698
MLEC,12,q,120687149,120701859,14710
UNC119B,12,q,120710458,120723640,13182
MIR4700,12,q,120723193,120723266,73
ACADS,12,q,120725774,120740008,14234
SPPL3,12,q,120762510,120904358,141848
ARF1P2,12,q,120845110,120845647,537
CLIC1P1,12,q,120914400,120915123,723
RPL12P33,12,q,120916745,120917236,491
HNF1A-AS1,12,q,120941728,120980968,39240
HNF1A,12,q,120978543,121002512,23969
C12orf43,12,q,121000486,121016502,16016
OASL,12,q,121017763,121039246,21483
OASL2P,12,q,121053732,121059670,5938
P2RX7,12,q,121132819,121188032,55213
P2RX4,12,q,121210065,121234106,24041
CAMKK2,12,q,121237675,121298308,60633
ANAPC5,12,q,121308245,121399896,91651
RNF34,12,q,121400083,121430623,30540
KDM2B,12,q,121429096,121581023,151927
MIR7107,12,q,121444273,121444352,79
KDM2B-DT,12,q,121580792,121593504,12712
RNU6-1004P,12,q,121604902,121605012,110
ORAI1,12,q,121626509,121643218,16709
MORN3,12,q,121648742,121672631,23889
TMEM120B,12,q,121712752,121783001,70249
RHOF,12,q,121777754,121803403,25649
LINC01089,12,q,121795267,121803906,8639
SETD1B,12,q,121804009,121832656,28647
HPD,12,q,121839527,121863596,24069
PSMD9,12,q,121888732,121918297,29565
RNU7-170P,12,q,121908103,121908163,60
CFAP251,12,q,121918592,122003927,85335
BCL7A,12,q,122019422,122062044,42622
LINC02985,12,q,122063306,122068616,5310
MLXIP,12,q,122078756,122147344,68588
LRRC43,12,q,122167738,122203471,35733
IL31,12,q,122172029,122174221,2192
B3GNT4,12,q,122203681,122208952,5271
DIABLO,12,q,122207663,122227456,19793
VPS33A,12,q,122229564,122266494,36930
CLIP1,12,q,122271432,122422669,151237
RPL21P1,12,q,122364782,122365632,850
CLIP1-AS1,12,q,122395542,122400857,5315
ZCCHC8,12,q,122471599,122501073,29474
RSRC2,12,q,122503454,122527000,23546
KNTC1,12,q,122527246,122626396,99150
HCAR2,12,q,122701293,122703357,2064
HCAR3,12,q,122714756,122716811,2055
HCAR1,12,q,122726076,122730844,4768
DENR,12,q,122752824,122771064,18240
CCDC62,12,q,122774526,122827528,53002
HIP1R,12,q,122834453,122862961,28508
VPS37B,12,q,122865330,122896127,30797
ABCB9,12,q,122920951,122981649,60698
OGFOD2,12,q,122974580,122980043,5463
ARL6IP4,12,q,122980060,122982913,2853
PITPNM2,12,q,122983480,123151090,167610
MIR4304,12,q,123010667,123010728,61
PITPNM2-AS1,12,q,123081384,123084744,3360
MPHOSPH9,12,q,123152320,123244014,91694
MTRFR,12,q,123233385,123258079,24694
CDK2AP1,12,q,123250112,123272334,22222
RNA5SP375,12,q,123282916,123283034,118
SBNO1,12,q,123289109,123364847,75738
SBNO1-AS1,12,q,123363868,123366113,2245
MIR8072,12,q,123364764,123364843,79
KMT5A,12,q,123384132,123409353,25221
RILPL2,12,q,123415039,123436684,21645
COPS5P2,12,q,123441517,123441852,335
SNRNP35,12,q,123458088,123473154,15066
RILPL1,12,q,123470054,123533719,63665
MIR3908,12,q,123536409,123536534,125
TMED2-DT,12,q,123575891,123585115,9224
TMED2,12,q,123584533,123598582,14049
DDX55,12,q,123602077,123620943,18866
SNORA9B,12,q,123616708,123616840,132
EIF2B1,12,q,123620406,123633766,13360
GTF2H3,12,q,123633739,123662604,28865
TCTN2,12,q,123671110,123708399,37289
ATP6V0A2,12,q,123712353,123761755,49402
RPL27P12,12,q,123721246,123721639,393
DNAH10,12,q,123762188,123935720,173532
CCDC92,12,q,123918660,123972831,54171
DNAH10OS,12,q,123925461,123934984,9523
ZNF664,12,q,123971845,124015439,43594
RFLNA,12,q,123973241,124316024,342783
NCOR2,12,q,124324415,124567612,243197
MIR6880,12,q,124337181,124337242,61
SCARB1,12,q,124776856,124882668,105812
RNU6-927P,12,q,124901512,124901611,99
UBC,12,q,124911604,124917368,5764
MIR5188,12,q,124915547,124915659,112
RPL22P19,12,q,124935455,124935895,440
DHX37,12,q,124946825,124989131,42306
BRI3BP,12,q,124993645,125031231,37586
THRIL,12,q,125025434,125027410,1976
AACS,12,q,125065434,125143333,77899
TMEM132B,12,q,125186386,125662377,475991
LINC00939,12,q,125958688,125983665,24977
LINC02826,12,q,125983702,126043485,59783
LINC02359,12,q,126094112,126177632,83520
LINC02825,12,q,126400792,126405528,4736
LINC02347,12,q,126438837,126472790,33953
FAM32EP,12,q,126458462,126458792,330
NDUFA5P6,12,q,126524248,126524626,378
LINC02824,12,q,126688341,126720333,31992
LINC00943,12,q,126723412,126749027,25615
LINC00944,12,q,126729787,126772519,42732
LINC02372,12,q,126869010,126874725,5715
HSPE1P20,12,q,126912034,126912322,288
LINC02405,12,q,126915199,127060565,145366
LINC02376,12,q,127274265,127284328,10063
RNU1-104P,12,q,127321355,127321529,174
LINC02375,12,q,127324152,127340109,15957
LINC02411,12,q,127631248,127636488,5240
LINC02393,12,q,127881616,127898645,17029
LINC00507,12,q,127914707,127960028,45321
LINC00508,12,q,127933689,127983854,50165
LINC02441,12,q,128023788,128027166,3378
LINC02369,12,q,128086621,128118656,32035
LINC02368,12,q,128116730,128123103,6373
TMEM132C,12,q,128267170,128707911,440741
MIR3612,12,q,128294092,128294178,86
SLC15A4,12,q,128793194,128823958,30764
GLT1D1,12,q,128853427,128984968,131541
NLRP9P1,12,q,129013336,129016663,3327
TMEM132D,12,q,129071725,129904025,832300
TMEM132D-AS1,12,q,129109629,129113294,3665
TMEM132D-AS2,12,q,129208601,129212662,4061
LINC02418,12,q,130032928,130045057,12129
LINC02419,12,q,130070325,130072685,2360
FZD10-AS1,12,q,130144315,130162256,17941
FZD10,12,q,130162459,130165740,3281
PIWIL1,12,q,130337887,130372637,34750
RIMBP2,12,q,130396133,130768228,372095
STX2,12,q,130789600,130839254,49654
RNU6-1077P,12,q,130869736,130869837,101
RAN,12,q,130872037,130877678,5641
ADGRD1,12,q,130953907,131141469,187562
ADGRD1-AS1,12,q,130990138,130993976,3838
LINC01257,12,q,131165011,131232940,67929
RPS6P20,12,q,131292068,131293176,1108
LINC02415,12,q,131296110,131297972,1862
RNA5SP376,12,q,131299640,131299751,111
LINC02370,12,q,131347470,131367555,20085
LINC02414,12,q,131639396,131661823,22427
RNA5SP377,12,q,131661063,131661174,111
RPS6P21,12,q,131667492,131668246,754
SFSWAP,12,q,131711081,131799738,88657
RNA5SP378,12,q,131801315,131801434,119
RNU6-1017P,12,q,131815263,131815368,105
MMP17,12,q,131828393,131851783,23390
ULK1,12,q,131894622,131923150,28528
PUS1,12,q,131929200,131945896,16696
EP400,12,q,131949942,132080460,130518
SNORA49,12,q,132031224,132031359,135
EP400P1,12,q,132104021,132127177,23156
DDX51,12,q,132136594,132144319,7725
NOC4L,12,q,132144457,132152473,8016
LINC02361,12,q,132186735,132189728,2993
GALNT9,12,q,132196372,132329589,133217
FBRSL1,12,q,132489551,132585188,95637
MIR6763,12,q,132581997,132582061,64
LRCOL1,12,q,132603150,132610582,7432
P2RX2,12,q,132618776,132622388,3612
POLE,12,q,132623753,132687376,63623
PXMP2,12,q,132687587,132704985,17398
PGAM5,12,q,132710819,132722734,11915
RNA5SP379,12,q,132723945,132724057,112
ANKLE2,12,q,132725503,132761832,36329
GOLGA3,12,q,132768902,132829143,60241
CHFR,12,q,132822187,132956304,134117
RPS11P5,12,q,132825701,132826184,483
RNU6-327P,12,q,132835374,132835500,126
CHFR-DT,12,q,132887842,132888583,741
ZNF605,12,q,132918306,132956306,38000
NANOGNBP2,12,q,132972338,132972890,552
ZNF26,12,q,132986365,133032952,46587
RNU4ATAC12P,12,q,132995190,132995302,112
ZNF84-DT,12,q,133030389,133037222,6833
PTP4A1P2,12,q,133033503,133033956,453
ZNF84,12,q,133037292,133063304,26012
ZNF140,12,q,133080474,133107526,27052
ZNF891,12,q,133104779,133130274,25495
RPL23AP67,12,q,133125479,133125952,473
ZNF10,12,q,133130575,133159465,28890
ZNF268,12,q,133181409,133214832,33423
ANHX,12,q,133218312,133235877,17565
RNU6-717P,12,q,133238335,133238438,103
FAM230C,13,q,18195297,18232024,36727
GGT4P,13,q,18253526,18270822,17296
IGSF3P1,13,q,18279320,18309934,30614
KMT5AP1,13,q,18297554,18298733,1179
ZNF962P,13,q,18467172,18485448,18276
BNIP3P7,13,q,18491904,18492419,515
LINC00349,13,q,18538880,18551214,12334
LONRF2P2,13,q,18609132,18609702,570
LINC00388,13,q,18610298,18611675,1377
FEM1AP4,13,q,18665235,18667221,1986
LINC00387,13,q,18672827,18676163,3336
TERF1P5,13,q,18680494,18681700,1206
FAM207BP,13,q,18697003,18697507,504
GXYLT1P1,13,q,18724415,18724904,489
CNN2P12,13,q,18726706,18727414,708
ZNF965P,13,q,18734080,18734896,816
CYP4F34P,13,q,18741730,18742718,988
SNX18P26,13,q,18807279,18808018,739
LINC00328-2P,13,q,18809830,18810048,218
ANKRD20A9P,13,q,18816718,18871967,55249
RHOT1P3,13,q,18837768,18838098,330
RNU6-55P,13,q,18869185,18869291,106
RNU6-76P,13,q,18880054,18880157,103
SNX19P2,13,q,18892260,18895230,2970
LINC00408,13,q,18905419,18935554,30135
PHF2P2,13,q,18946755,19062718,115963
LINC00442,13,q,19008259,19026802,18543
USP24P1,13,q,19015487,19019336,3849
GTF2IP3,13,q,19026001,19032626,6625
RNA5SP24,13,q,19088487,19088581,94
CENPIP1,13,q,19126399,19139611,13212
SMPD4P2,13,q,19152567,19171194,18627
TUBA3C,13,q,19173772,19181824,8052
PSPC1P1,13,q,19201637,19227432,25795
ANKRD26P3,13,q,19262797,19344973,82176
MRPL3P1,13,q,19304593,19305625,1032
LINC00421,13,q,19345049,19346749,1700
PARP4P2,13,q,19349137,19407962,58825
CCNQP3,13,q,19382454,19383072,618
SLC25A15P2,13,q,19411231,19416188,4957
TPTE2,13,q,19422876,19561625,138749
CYCSP32,13,q,19458398,19458718,320
MRPS31P2,13,q,19552571,19570288,17717
ESRRAP1,13,q,19560013,19561269,1256
LINC00350,13,q,19561328,19588603,27275
GOLM2P1,13,q,19563589,19564900,1311
MPHOSPH8,13,q,19633659,19673441,39782
PSPC1-AS2,13,q,19674624,19675884,1260
PSPC1,13,q,19674752,19783019,108267
RN7SL166P,13,q,19736975,19737254,279
ST6GALNAC4P1,13,q,19818121,19818619,498
ZMYM5,13,q,19823482,19863649,40167
ZMYM2,13,q,19958677,20091829,133152
KRR1P1,13,q,20070250,20072136,1886
LINC01072,13,q,20102701,20103230,529
GJA3,13,q,20138255,20161052,22797
PPIAP28,13,q,20178978,20179462,484
LINC00556,13,q,20181531,20181942,411
GJB2,13,q,20187463,20192938,5475
GJB6,13,q,20221962,20232365,10403
CRYL1,13,q,20403666,20525873,122207
MIR4499,13,q,20433778,20433846,68
IFT88,13,q,20567138,20691444,124306
SLC35E1P1,13,q,20607268,20608131,863
RNU2-7P,13,q,20612161,20612338,177
IL17D,13,q,20702127,20723098,20971
EEF1AKMT1,13,q,20728731,20773961,45230
RANP8,13,q,20747035,20748057,1022
XPO4,13,q,20777329,20903048,125719
CNOT4P1,13,q,20921664,20923233,1569
HNRNPA1P30,13,q,20938564,20949599,11035
PPIAP27,13,q,20956179,20956443,264
RPSAP54,13,q,20961310,20962195,885
LATS2,13,q,20973036,21061586,88550
LATS2-AS1,13,q,21005157,21018122,12965
RNU4-9P,13,q,21038529,21038667,138
RPS12P23,13,q,21094315,21094714,399
IPPKP1,13,q,21103003,21104371,1368
SAP18,13,q,21140119,21149097,8978
SKA3,13,q,21153595,21176552,22957
MRPL57,13,q,21176658,21179084,2426
LINC01046,13,q,21224521,21235204,10683
ESRRAP2,13,q,21260015,21295003,34988
MIPEPP3,13,q,21298259,21306373,8114
LINC00539,13,q,21302862,21362139,59277
GRK6P1,13,q,21319156,21320866,1710
ZDHHC20,13,q,21348784,21459370,110586
GAPDHP52,13,q,21358373,21359314,941
RNA5SP25,13,q,21369790,21369899,109
ZDHHC20-IT1,13,q,21376977,21377874,897
H2BP6,13,q,21483834,21484174,340
MICU2,13,q,21492691,21604181,111490
FNTAP2,13,q,21530690,21531323,633
RNU6-59P,13,q,21551304,21551410,106
RPS7P10,13,q,21628413,21629015,602
FGF9,13,q,21671073,21704498,33425
RN7SL766P,13,q,21790537,21790845,308
LINC00424,13,q,21872763,21878256,5493
LINC00540,13,q,22040972,22276526,235554
NME1P1,13,q,22099163,22099544,381
MTND3P1,13,q,22113119,22113338,219
FTH1P7,13,q,22696023,22696574,551
DDX39AP1,13,q,22704739,22706206,1467
SNORD36,13,q,22803145,22803224,79
RPL7AP73,13,q,22803296,22803648,352
IPMKP1,13,q,22837026,22837880,854
RFESDP1,13,q,22850101,22850561,460
LINC00621,13,q,22859050,22916369,57319
BASP1P1,13,q,22897341,22898005,664
NUS1P2,13,q,22915651,22916523,872
HMGA1P6,13,q,23134174,23134564,390
RNY3P4,13,q,23152586,23152686,100
LINC00362,13,q,23169835,23170597,762
SGCG,13,q,23180979,23325162,144183
RNU6-58P,13,q,23217432,23217534,102
TATDN2P3,13,q,23243520,23247184,3664
SDAD1P4,13,q,23267506,23269150,1644
SACS,13,q,23288689,23433763,145074
RPLP1P13,13,q,23373423,23374061,638
SACS-AS1,13,q,23418971,23428869,9898
LINC00327,13,q,23465776,23487712,21936
LINC00352,13,q,23498796,23502874,4078
TNFRSF19,13,q,23570370,23676104,105734
MIPEP,13,q,23730189,23889400,159211
MTCO3P2,13,q,23765934,23766104,170
PCOTH,13,q,23888842,23897263,8421
C1QTNF9B,13,q,23891099,23897502,6403
ANKRD20A19P,13,q,23941290,23941740,450
SPATA13,13,q,23979805,24307074,327269
IPO7P2,13,q,24122065,24123814,1749
MIR2276,13,q,24162416,24162504,88
SPATA13-AS1,13,q,24252749,24254439,1690
C1QTNF9,13,q,24307166,24322535,15369
C1QTNF9-AS1,13,q,24315725,24321598,5873
NUS1P3,13,q,24328211,24329072,861
LINC00566,13,q,24331450,24337121,5671
CYCSP33,13,q,24400703,24401029,326
TPTE2P6,13,q,24408157,24597660,189503
PARP4,13,q,24420931,24512778,91847
PSPC1P2,13,q,24566843,24570728,3885
ATP12A,13,q,24680408,24712472,32064
RNY1P7,13,q,24703556,24703665,109
RPL26P34,13,q,24704338,24704788,450
IRX1P1,13,q,24742677,24746184,3507
ANKRD20A10P,13,q,24750657,24752171,1514
RNF17,13,q,24764169,24879921,115752
CENPJ,13,q,24882279,24922889,40610
SLC25A15P3,13,q,24943575,24944498,923
TPTE2P1,13,q,24951388,24967454,16066
RPL34P27,13,q,24988577,24988925,348
LSP1P1,13,q,25017404,25017536,132
PABPC3,13,q,25096136,25099254,3118
AMER2,13,q,25161679,25172288,10609
LINC01053,13,q,25168969,25190643,21674
LINC00463,13,q,25172819,25180079,7260
LINC01076,13,q,25193107,25210295,17188
RPL23AP69,13,q,25206049,25206506,457
MTMR6,13,q,25246222,25287510,41288
NUP58,13,q,25301524,25365390,63866
ELOBP1,13,q,25365799,25366155,356
ATP8A2,13,q,25371974,26025851,653877
RNU6-78P,13,q,25517119,25517225,106
RN7SL741P,13,q,25944478,25944766,288
RNY1P3,13,q,25950704,25950821,117
SHISA2,13,q,26044597,26052016,7419
LINC00415,13,q,26052276,26053385,1109
ATP8A2P3,13,q,26094724,26154175,59451
PRUNEP1,13,q,26117548,26118964,1416
RNF6,13,q,26132115,26222314,90199
THAP12P6,13,q,26234213,26237129,2916
CDK8,13,q,26254104,26420982,166878
WASF3,13,q,26557683,26688948,131265
RPS3AP44,13,q,26576886,26577675,789
WASF3-AS1,13,q,26606544,26641793,35249
GPR12,13,q,26755200,26760786,5586
FGFR1OP2P1,13,q,26905362,26905861,499
RPS21P8,13,q,26977543,26977789,246
RPS20P32,13,q,27017554,27017909,355
USP12,13,q,27066156,27171811,105655
USP12-AS1,13,q,27162855,27169135,6280
USP12-DT,13,q,27172259,27182998,10739
LINC02340,13,q,27178263,27251288,73025
LINC00412,13,q,27236282,27250711,14429
RPL21,13,q,27251362,27256691,5329
SNORD102,13,q,27255064,27255135,71
SNORA27,13,q,27255401,27255526,125
RASL11A,13,q,27270830,27275192,4362
RNU6-70P,13,q,27343687,27343746,59
LINC01079,13,q,27373348,27374366,1018
RNY1P1,13,q,27402476,27402587,111
GTF3A,13,q,27424619,27435823,11204
MTIF3,13,q,27435643,27450591,14948
RNU6-63P,13,q,27488138,27488232,94
LNX2,13,q,27545913,27620529,74616
POLR1D,13,q,27620742,27744237,123495
NPM1P4,13,q,27696393,27697204,811
GSX1,13,q,27792483,27794768,2285
PLUT,13,q,27819376,27917298,97922
RNU6-73P,13,q,27828763,27828869,106
PDX1,13,q,27920000,27926313,6313
ATP5F1EP2,13,q,27945260,27945415,155
LINC00543,13,q,27953526,27955370,1844
CDX2,13,q,27960918,27969315,8397
URAD,13,q,27977717,27988693,10976
RN7SL272P,13,q,27989296,27989584,288
FLT3,13,q,28003274,28100592,97318
KATNBL1P1,13,q,28067587,28068334,747
CHCHD2P8,13,q,28107431,28107877,446
PAN3-AS1,13,q,28136843,28138193,1350
PAN3,13,q,28138506,28295335,156829
EEF1A1P3,13,q,28214513,28215897,1384
RNU6-82P,13,q,28232501,28232607,106
FLT1,13,q,28300346,28495145,194799
EIF4A1P7,13,q,28598833,28600052,1219
POMP,13,q,28659065,28678959,19894
SLC46A3,13,q,28700064,28718970,18906
RNU6-53P,13,q,28703702,28703807,105
CYP51A1P2,13,q,28722386,28724021,1635
POM121L13P,13,q,28778558,28778937,379
MTUS2,13,q,28820339,29505947,685608
MTUS2-AS2,13,q,29239379,29250554,11175
GAPDHP69,13,q,29306778,29307785,1007
MTUS2-AS1,13,q,29476515,29490105,13590
SLC7A1,13,q,29509414,29595688,86274
UBL3,13,q,29764371,29850617,86246
TIMM8BP1,13,q,29865959,29866169,210
LINC00297,13,q,29872613,29888405,15792
LINC00572,13,q,29918647,29926651,8004
LINC00544,13,q,29935771,29950488,14717
LINC00365,13,q,30103178,30108895,5717
LINC00384,13,q,30151886,30159621,7735
LINC00385,13,q,30153744,30160592,6848
KATNAL1,13,q,30202630,30307551,104921
RNU6-64P,13,q,30281765,30281869,104
PRDX2P1,13,q,30296147,30296735,588
LINC00427,13,q,30316360,30319903,3543
LINC00426,13,q,30340267,30377145,36878
LINC01058,13,q,30418339,30422251,3912
UBE2L5,13,q,30422488,30429758,7270
HMGB1,13,q,30456704,30617597,160893
,13,q,30466117,30482312,16195
RBM22P2,13,q,30539597,30543461,3864
MFAP1P1,13,q,30541643,30542897,1254
PTPN2P2,13,q,30553670,30554693,1023
USPL1,13,q,30617693,30660770,43077
ALOX5AP,13,q,30713478,30764426,50948
LINC00398,13,q,30803206,30810645,7439
LINC00545,13,q,30863369,30883424,20055
TEX26-AS1,13,q,30881933,30933846,51913
MEDAG,13,q,30906271,30925572,19301
TEX26,13,q,30932656,30975500,42844
LINC01066,13,q,30995162,30996138,976
WDR95P,13,q,31063306,31115699,52393
HSPH1,13,q,31134973,31162388,27415
B3GLCT,13,q,31199975,31332276,132301
ANKRD26P4,13,q,31311289,31312921,1632
RXFP2,13,q,31739526,31803389,63863
FRY,13,q,31846713,32299125,452412
EEF1DP3,13,q,31952580,31953361,781
FRY-AS1,13,q,32025314,32031639,6325
ZAR1L,13,q,32303699,32315363,11664
BRCA2,13,q,32315086,32400268,85182
IFIT1P1,13,q,32384660,32386108,1448
N4BP2L1,13,q,32400723,32428311,27588
N4BP2L2,13,q,32432417,32538885,106468
ATP8A2P2,13,q,32477274,32478841,1567
N4BP2L2-IT2,13,q,32504506,32509395,4889
PDS5B,13,q,32586452,32778019,191567
RNY1P4,13,q,32763438,32763552,114
LINC00423,13,q,32877431,32911650,34219
TOMM22P3,13,q,32954057,32954401,344
KL,13,q,33016423,33066143,49720
STARD13,13,q,33103137,33350630,247493
STARD13-IT1,13,q,33158587,33164409,5822
STARD13-AS,13,q,33180401,33281584,101183
LINC02344,13,q,33333679,33335277,1598
RFC3,13,q,33818069,33966558,148489
RNU5A-4P,13,q,33829539,33829649,110
VDAC1P12,13,q,34082429,34083310,881
LINC02343,13,q,34347986,34616216,268230
LINC00457,13,q,34435450,34640803,205353
GAMTP2,13,q,34574204,34574666,462
NBEA,13,q,34942270,35673022,730752
ZBED9P1,13,q,35185294,35186679,1385
PHB1P13,13,q,35251070,35251829,759
MAB21L1,13,q,35473419,35478764,5345
LINC00445,13,q,35697487,35699938,2451
DCLK1,13,q,35768652,36131382,362730
SOHLH2,13,q,36168217,36214588,46371
CCDC169-SOHLH2,13,q,36168794,36297842,129048
CCDC169,13,q,36222008,36297840,75832
RNU6-71P,13,q,36267168,36267274,106
SPART,13,q,36301638,36370180,68542
SPART-AS1,13,q,36346431,36369601,23170
CCNA1,13,q,36431520,36442870,11350
H2ACP1,13,q,36490078,36490441,363
SERTM1,13,q,36674020,36697839,23819
GAPDHP34,13,q,36740041,36740863,822
TCEAL4P1,13,q,36741878,36742465,587
ARL2BPP3,13,q,36789332,36795050,5718
NDE1P2,13,q,36804198,36805302,1104
RFXAP,13,q,36819222,36829104,9882
SMAD9,13,q,36844831,36920765,75934
SMAD9-IT1,13,q,36849366,36850046,680
LAMTOR3P1,13,q,36922539,36922908,369
RPL29P28,13,q,36926438,36927219,781
EIF4A1P5,13,q,36938400,36939494,1094
ALG5,13,q,36949738,37000763,51025
EXOSC8,13,q,36998816,37025881,27065
SUPT20H,13,q,37009312,37059713,50401
CSNK1A1L,13,q,37103259,37105664,2405
RN7SKP1,13,q,37166352,37166658,306
RPS12P24,13,q,37220860,37221246,386
LINC01048,13,q,37481467,37484769,3302
LINC00547,13,q,37534940,37551536,16596
POSTN,13,q,37562583,37598844,36261
TRPC4,13,q,37632063,37869802,237739
RNA5SP26,13,q,37854852,37854970,118
LINC02334,13,q,37934298,38066444,132146
HSPD1P9,13,q,37993085,37994720,1635
LINC00571,13,q,38050817,38350259,299442
UFM1,13,q,38349849,38363619,13770
LINC00437,13,q,38533343,38545299,11956
LINC00366,13,q,38567715,38622671,54956
PRDX3P3,13,q,38617419,38617940,521
FREM2,13,q,38687077,38887131,200054
RNU6-56P,13,q,38779424,38779516,92
FREM2-AS1,13,q,38821798,38827570,5772
PLA2G12AP2,13,q,38902387,38902650,263
ANKRD26P2,13,q,38922727,38936199,13472
STOML3,13,q,38965925,38990859,24934
PROSER1,13,q,39009865,39038089,28224
NHLRC3,13,q,39038306,39050109,11803
NXT1P1,13,q,39169636,39169951,315
LHFPL6,13,q,39209116,39603528,394412
COG6,13,q,39655627,39791665,136038
MIR4305,13,q,39664034,39664135,101
RNY4P14,13,q,39785415,39785510,95
CDKN2AIPNLP3,13,q,39817741,39818049,308
AZU1P1,13,q,39856710,39857094,384
LINC00598,13,q,40079106,40535807,456701
LINC00332,13,q,40172505,40195361,22856
RPL17P51,13,q,40224625,40224862,237
RNY3P9,13,q,40226827,40226932,105
RN7SKP2,13,q,40407122,40407440,318
FOXO1,13,q,40555667,40666641,110974
RLIMP1,13,q,40618738,40621348,2610
MIR320D1,13,q,40727828,40727875,47
MRPS31,13,q,40729128,40771190,42062
SLC25A15,13,q,40789412,40812460,23048
MIR621,13,q,40810766,40810861,95
TPTE2P5,13,q,40822296,40864352,42056
CYCSP34,13,q,40863599,40863902,303
SUGT1P3,13,q,40908159,40921656,13497
ELF1,13,q,40931924,41061440,129516
RGS17P1,13,q,40992779,40993331,552
WBP4,13,q,41061509,41084006,22497
MIR3168,13,q,41101019,41101100,81
RN7SL597P,13,q,41121876,41122171,295
KBTBD6,13,q,41127569,41132802,5233
CALM2P3,13,q,41170700,41171148,448
KBTBD7,13,q,41189834,41194569,4735
MORF4L1P4,13,q,41199832,41200807,975
MTRF1,13,q,41216369,41263577,47208
RAC1P3,13,q,41287741,41288320,579
NAA16,13,q,41311267,41377030,65763
RNU6-57P,13,q,41354557,41354659,102
TUBBP2,13,q,41384773,41385183,410
OR7E36P,13,q,41431248,41432201,953
OR7E155P,13,q,41439834,41440847,1013
OR7E37P,13,q,41442770,41443666,896
RGCC,13,q,41457550,41470871,13321
VWA8,13,q,41566835,41961120,394285
MIR5006,13,q,41568286,41568395,109
RN7SL515P,13,q,41807677,41807973,296
RNU6-74P,13,q,41905118,41905224,106
KARS1P1,13,q,41925598,41927349,1751
VWA8-AS1,13,q,41955808,41981565,25757
RPS28P8,13,q,42003430,42003637,207
DGKH,13,q,42040036,42256578,216542
MAPK6P3,13,q,42068932,42071093,2161
CHCHD2P11,13,q,42181465,42181921,456
FHP1,13,q,42255873,42256575,702
AKAP11,13,q,42272152,42323261,51109
LINC02341,13,q,42339188,42485956,146768
FABP3P2,13,q,42369259,42369657,398
TNFSF11,13,q,42562736,42608013,45277
FAM216B,13,q,42781550,42791549,9999
LINC01050,13,q,42810366,42814897,4531
LINC00428,13,q,42842414,42842887,473
EPSTI1,13,q,42886388,42992271,105883
ZDHHC4P1,13,q,42933858,42934892,1034
DNAJC15,13,q,43023203,43114213,91010
LINC00400,13,q,43158631,43159466,835
ENOX1,13,q,43213130,43786972,573842
RPL36P19,13,q,43394525,43394825,300
ENOX1-AS2,13,q,43458465,43459484,1019
ENOX1-AS1,13,q,43543918,43548056,4138
CCDC122,13,q,43823909,43879740,55831
LACC1,13,q,43879284,43893932,14648
NRAD1,13,q,43908669,44030461,121792
DGKZP1,13,q,43968424,43971199,2775
LINC00390,13,q,44094822,44147765,52943
SMIM2-AS1,13,q,44110451,44240517,130066
SMIM2,13,q,44143150,44161257,18107
SMIM2-IT1,13,q,44146470,44158222,11752
MIR8079,13,q,44196129,44196200,71
